how,date,month,year,collid,Title,fname,lanme,postcode
LC,1,1,80,47257908019,Mrs  ,K,Dgllzyta,TA7 9ER
LC,26,12,76,47255042019,Mrs  ,W,Tuiatsoa,LS24 9NY
LC,11,12,72,47255233014,Mr   ,D,Gyxuancb,KT24 6QN
ST,28,12,74,47255275015,Mr   ,Z,Mviuffxm,B28 9PN
ST,1,2,64,47258528014,Mrs  ,Z,Vmxgkbtl,EH17 7TA
LC,1,1,80,47258411013,Mrs  ,O,Clnrmxrb,PO11 9JB
ST,16,10,56,47258466017,Mr   ,N,Meaobhxl,SE9 2PD
ST,1,1,80,47259321013,Mrs  ,R,Lylowbkn,BN1 6JR
LC,13,4,53,47259422019,Mr   ,U,Rcmbiqwe,RM12 4NE
LC,30,7,40,47257288016,Mr   ,Q,Pmcwomya,ME5 9RD
ST,24,5,46,47257301017,Mrs  ,R,Sqwmvzeq,TN23 5LH
LC,3,10,54,47255794015,Mr   ,E,Qairaonm,PE38 0JS
LC,26,4,82,47255897016,Mrs  ,F,Dgremsze,NW4 4HA
LC,2,12,66,47257615010,Dr   ,G,Tbcfbckc,AB15 4DE
ST,15,12,62,47258323010,Mr   ,U,Ottldgsf,RM1 2DT
LC,1,2,67,47258332011,Mr   ,T,Fjwdkhuy,G82 1EQ
LC,2,7,73,47258360012,Mr   ,H,Akxamgvj,TS8 0XA
LC,14,9,42,47256357010,Mrs  ,R,Xqnxqmud,IG3 9AH
LC,27,6,46,47256481018,Mrs  ,G,Zypoudke,MK4 1AJ
LC,28,4,82,47256584019,Mr   ,D,Hdcludll,GU7 2LP
LC,31,12,70,47256615011,Miss ,Z,Uunoncos,TW12 2QS
LC,9,1,70,47259097019,Dr   ,H,Fbvlpdxq,NN9 5LW
ST,28,7,53,47259103015,Mr   ,V,Diipgfko,PE6 7EE
LC,3,10,74,47259107016,Miss ,G,Xfqcczld,TA20 2SQ
ST,29,3,48,47255874015,Mr   ,P,Uwnpkwyx,B69 1BU
LC,15,8,55,47256045011,Mrs  ,A,Tnvkwmmm,E4 6SY
LC,10,10,70,47256097012,Mrs  ,X,Ilvyhhlu,B75 5DN
LC,26,7,68,47256738011,Mr   ,L,Rbywsoyy,SW2 5DT
ST,3,11,59,47256741015,Mrs  ,L,Jjsyigwm,AB23 8QW
LC,14,10,76,47256795011,Mr   ,C,Pgjyhqlt,M34 5WN
ST,15,12,50,47256801017,Mr   ,V,Qepyseen,SS6 8NJ
ST,22,5,47,47257172012,Mrs  ,T,Glfcdxjl,WR2 6NG
LC,1,1,80,47257190014,Mrs  ,B,Auhduesn,HA5 3QN
LC,1,1,80,47257231016,Mr   ,P,Zrfepgis,BA3 2SD
LC,1,3,53,47255170018,Mr   ,F,Hqymxnfv,BL7 9AX
ST,1,1,80,47255178011,Mr   ,Z,Rlawmvwm,BN22 9HY
LC,26,10,77,47257903010,Mrs  ,D,Qblvnfxf,EX2 5LN
LC,10,12,60,47257910015,Mr   ,I,Xuceagcc,EX2 7QZ
ST,4,7,64,47257926011,Mr   ,C,Yheyxdkf,RG31 7DG
LC,27,12,80,47257941010,Dr   ,K,Pmioqwiz,BH9 2PJ
LC,8,7,38,47258266011,Mr   ,N,Zyhreimn,S72 8WG
LC,24,8,76,47258296018,Mr   ,L,Lhfmcpap,CH43 3BL
ST,27,3,86,47258298014,Mrs  ,M,Skwzpcbq,IV36 2US
LC,26,5,41,47258300018,Mrs  ,D,Marrdwgx,BA11 3ED
ST,5,1,70,47258385019,Mrs  ,W,Xdfhxttd,KT4 7SJ
LC,1,1,80,47258389011,Mrs  ,F,Iaknzbjb,HX3 9UF
LC,8,12,36,47258405015,Mrs  ,K,Kpemlqll,GU24 9SB
LC,1,1,80,47254915017,Mr   ,C,Hucpoqyi,SW12 8RA
LC,21,3,45,47256776011,Mrs  ,H,Bhmeuwne,DE15 9LZ
LC,10,11,60,47256787018,Mr   ,U,Wyjnafwh,SK7 6HD
