'CARDNUM'	'COL_V_COLLECTOR_LAST_NAME'	'COL_V_COLLECTOR_FIRST_NAME'
'19426076010'	'SWWYSPWO'	'David'
'52201514012'	'RRZTCSPU'	'Glenys'
'51353911018'	'SQCZNBPU'	'Anita'
'50954901014'	'RCSSXAOT'	'Rob'
'58563145014'	'RAXBASZC'	'Christopher'
'54575418036'	'SBRBPQTB'	'Glenda'
'55191985019'	'QBSXPCPP'	'Michael'
'66234612015'	'PVCAUQAU'	'John'
'52318310015'	'SOABSSPV'	'Nic'
'58805501016'	'QUVNNWYP'	'Bradley'
'56056515016'	'PBBOTSRV'	'Sue'
'63644021010'	'TRCXTAXP'	'Sarah'
'56196464034'	'TUNTAUYR'	'Peter'
'50985584011'	'TOBTQXOT'	'Catherine'
'65659349012'	'QWUAORYC'	'Charmantel'
'55712016013'	'RBWPVRZZ'	'Julie'
'55296670011'	'RABVBWWZ'	'Tracey'
'54151492017'	'SQRNZNQB'	'Michael'
'62238623017'	'SQWUSOUZ'	'Christine'
'65632606025'	'SSNRYBAY'	'Patricia'
'51099371014'	'PZUYATAS'	'Dimple'
'51097434020'	'TSZATRNY'	'Greg'
'51093793023'	'TWRSYRRN'	'David'
'50543895040'	'SXAUQYBW'	'Ian'
'50354373020'	'RPNRWUCC'	'Martin'
'57793961018'	'QNWBTBRP'	'Jonathan'
'65808556020'	'QOUXOOBV'	'Behriga'
'57686453016'	'QBBVCYAY'	'Lorraine'
'51014209067'	'QYTZOCSC'	'Mollie'
'65911766011'	'SXVTQZNX'	'Barry'
'54238155017'	'PCOZANWP'	'Dunstan'
'65436045016'	'PXSSYAON'	'Lisa Jane'
'58910142011'	'SVBVQPCQ'	'Jeremy'
'50294586012'	'SSTNXRNN'	'Maria'
'50338973010'	'TRBCUSUB'	'Mike'
'50338298038'	'QVPZPZAR'	'Mandy'
'52429056044'	'RCUXXQYS'	'Stephen'
'64321181010'	'TURROTPY'	'Michael'
'65836154012'	'RXSQAUYB'	'Peter'
'56251948038'	'PYBSZPPR'	'Michael'
'57768751022'	'SSVNCOBW'	'Simon'
'63327681015'	'PXVVNSSX'	'Mike'
'50463802034'	'QPVTYACO'	'Peter'
'55324668037'	'RSYNBAVV'	'David'
'57862533011'	'QCOTRPTX'	'Kay'
'54977585010'	'RTCYXUWZ'	'Clare'
