CARDNUM,HSE_NO,ADDRESS_1,ADDRESS_2,ADD_C_POSTAL_CODE
19473431019,117,QSZVSYRQ,QQACZQTR,BS22 8HR
19473438014,170,SXNRBTOV,QVXZVPZP,SW15 3PG
19466388010,138,STYTPOVY,SRPBNABS,TS12 2AL
19480815014,195,QUNYRUSP,QUNYRUSP,CF39 8FE
19480863014,162,SSWWZZNP,TPZNYNAV,SO31 7DL
19480870019,129,QCZVUSSZ,RZZAXOXB,SW19 4BJ
19466463011,195,TPARQPVR,SCYSXNNC,CW2 6QZ
19491408015,106,SPCVBOBN,RBYRZYWX,N7  6FN
19491474017,117,QAZOVYSW,QPVXNUVU,PO17 5LG
19467717019,106,RCQRWNPX,SVCPQZOZ,CH46 6FN
19467758013,163,RTQBBUAN,RZPRPNTN,WA4 5NP
19491496010,149,SPBXPZCA,RZWNWPTS,NR10 4EJ
19491519019,117,QRNBYQVS,RYBSRSZZ,DH8 9TF
19491532012,195,RBCXBXNU,SVTPCVZS,DY14 8EZ
19491542011,185,STVYYXNQ,RWVAAOAW,W11 3RL
19491547010,117,QQRWUXPC,SRNXPNRT,CV13 6NF
19478783018,164,QPBOUYZB,RZYVNABP,N14 4DL
19481141014,156,PCPUTNXZ,QPBXUWNC,NR13 6RN
19481160014,120,QAOUCBNW,QBRQNCQT,W10 5BN
19481165013,136,PCONTBQU,TWPOSNNN,RG31 6YT
19468086018,187,RQCPZZRA,RWUWAYWQ,DH7 9DH
19468091018,122,ROPCCOAT,QNCORWAA,UB6 7FL
19468095019,980,RZUBVAZS,SQSONAQU,CM13 2NY
19468140013,119,RRVQRTZX,RQBYVPCA,BN20 0JP
19468162017,138,QNQCWAUS,PYORQSNO,BA13 4PL
19491676017,138,QCVQVQPW,QOVQOZNO,NE42 6AH
19479062016,143,RQWSBUAC,TSZRNBYV,SG14 2PT
19469399014,187,PCQZBWVR,TNWCYNRS,E5  9LL
19469420018,180,TVWOOCQY,RWNUNUCO,GU47 0SW
19469423012,117,RWWVTZNA,TQVRATXV,TA7 9QP
19491697013,122,SZNTYNNQ,TRRRZCZY,SN4 9PW
19491757015,122,RZYBUUQR,SBWPTOUA,NW8 7JW
19470164019,161,PCTPVXOZ,RTTQYXUT,GU10 4AN
19470232014,103,RRVQRTZX,RSSZTTZA,DE74 2LD
19470241015,106,SBACYPXC,RZRWPNPQ,PE28 4AF
19491830010,117,PABSSROW,TSVYWCSS,N19 5BL
19491838013,114,PBWSVQTU,PCZYOYWW,RG18 3AD
19491886012,116,SQZUVXRU,SPZXSPPU,DD6 8PB
19491890014,182,SPWSTXRS,RYWCTXQU,NP44 8HP
19491898017,173,PYCSXYWX,RTOWPSQN,EX31 2DU
19491906018,118,SYNNYONX,TSNQUUWR,SW5 0SP
19491934010,176,RYTQWAYB,SUNVUXZO,PR2 5JQ
19491966012,116,SRBAQASR,PCBOPRVZ,TN3 8AE
19484303017,122,SPPYRRST,SAOWPXAX,SN3 4TD
19484331018,184,RWPVBUPU,RWPVBUPU,TF9 4RJ
19484343013,133,RCNXTZZA,QAPPZBVP,SW4 6ET
19484397019,116,PBSWOAPW,TNZACPZA,BR5 1PL
19484860016,148,TRTBTVTY,RWYVWACV,WS6 6NQ
19484868019,116,QCXWROQY,RTPUAUWO,CW5 8LL
19484875014,187,TOBWZYBX,QVRQRWWV,E14 7GA
19484895012,117,QRCPZNNB,TPCXRXOA,KT23 4LN
19484913013,117,QAXVUPUX,QPNRSXAP,LA8 9PW
19485092015,117,RPCPYNQP,QRTXRSQC,WA14 3FY
19485119016,182,RRQXBBTS,RRQXBBTS,SE6 4LF
19485152017,149,QRWRPSVZ,TWOOOPWW,CB9 7ZD
19469373019,156,RWXNYACP,SVQTRYUW,LL57 3SL
19469683011,119,TPXQPSOB,QNUWPCOY,PE20 1EJ
19469686014,116,QPCUOSVU,RYAYAUWU,DE7 6BN
19469699017,123,SCQTVWSN,SVXWSAVS,BN16 2DR
19469711010,149,RZRQOPUW,RUTZNPSX,N14 4HQ
19485060012,176,PANNTZSR,PCNTTBRO,NW4 3PR
19485095018,103,QZXYYBWV,QZXYYBWV,TW9 3JD
19470756012,179,QUPAVWTX,QSNAYPBA,G46 8DL
19470795010,187,SURUQAWR,SYBOTUOP,TA5 2QN
19470799012,143,TUVNUTNU,RRQPVYSU,YO30 2AX
19480628011,136,QUZAXQCB,TTXTAVVA,TN29 0PN
19485191015,176,QTZRQQON,SBZPNWWS,BH22 0BP
19469763011,137,SARYBPWU,QAVRUYZW,N17 8HB
19469782011,201,RQAWYPQQ,RPCVVBPW,SE21 8DX
19469791012,184,TVQZOTWT,RTZZNQTQ,OX3 7SQ
19469827014,100,SYBYVZYW,QRAWNXPB,SE5 8DJ
19470858016,192,SXUPOOWZ,TQYZTNWQ,W12 9AT
19481262018,117,SWCORXVT,RARPCQAC,W2  2NQ
19481390017,159,QWSWYYRX,PCOPTUYX,OL2 6LW
19481398010,124,TUPCROVP,TUPCROVP,LS26 0PP
19481432017,139,SVCOOQYW,RRQPVYSU,YO42 1RX
19481449011,117,QOYSTNVY,QNQVUYUA,DL14 0JA
19469859017,184,QQZYWBZN,RXVNAUPZ,CT18 7DR
19469872010,136,TRYSBWUR,QYOZQCZU,TR1 2JW
19469915017,117,SNZUUSST,PXOSTTBQ,PR4 4XQ
19481455018,117,QYWOWQZB,QYWOWQZB,WS12 4TQ
19481535017,117,TNZOAQNZ,SYPTZUOP,CT3 2NH
19469954016,103,SPCZVXOU,QZUNXVBR,C07 7UD
19469957019,138,RCAVNWRS,SUXRABCA,NR10 4DP
19469996017,156,QVQORZQY,TPAQVOWU,MK41 6AJ
19470007010,136,RRYUORVT,RRYUORVT,M16 0GP
19470016011,184,SRBXUVQX,QWPSQSVQ,SO53 2GG
19470044013,116,TPBTSYBN,QWACBCQS,LE16 7RH
19470048014,195,SXNRBTOV,SQUWNXUQ,PE32 1AP
19470063013,195,PAWCVUVT,TSNTTCSX,NR13 3TT
19471357018,176,SYWSZRZQ,SZPWVBPS,NR12 7DW
19481098016,105,SUBAVWOT,QYUBTYWY,SE16 5HE
19481100010,172,TPRYATRS,TSUAUXXY,NN8 2UB
19481123012,174,QVOSVPCO,SAVVZWNR,GL52 8JL
19481153019,149,PCTCZCXS,SCOTSRYY,LE12 5LQ
19481164016,143,SAZOYNCX,QWRPNCAR,GL4 5TL
19470683018,110,TSQCQRVN,QXTBOBPU,RG40 4HJ
19470700010,187,TROPVXCQ,RXBSUYBO,DE15 0PR
19470711017,161,TOWBSWQP,QXNOAAZZ,KT12 5PF
19471557013,177,QYWTUANA,ROVRBASO,GU3 3DW
19471915013,156,SCRYTPNQ,TTVVRBQQ,B16 9SN
19471919015,106,SPASCBOC,TQVRATXV,LS25 7LQ
19481377014,122,SZXVCZUP,QTWXAOVR,NW7 3PH
19481392013,138,RVWXRTPV,PCYWBVXS,LD1 6EW
19471600011,141,PXOXAZSS,RBVWSQVA,HD5 0AR
19471628012,117,QQAPNVSP,TPAQVOWU,BN14 0TA
19471656013,103,QVBUOOYW,SNCYVAVQ,TN18 4JR
19518483017,116,QARZCRPA,RTPPPQNW,N1  0GN
19472007018,178,SXNRBTOV,QCNNNQUU,SE6 1HB
19472027016,179,RXPYVSPP,PZROCXOA,SN13 0JB
19472038013,187,RAWSVSYO,QYRAUSVV,CV23 9RY
19472062013,111,SZWRZBAQ,QONROPRQ,CH5 1QA
19471675013,122,RANNATYP,SUXRABCA,NG34 9NU
19471734018,195,QUZNRQXA,QOROSSBR,SY5 0RL
19471755013,116,SQBTROOA,TTCYUAYA,BN14 0RU
19471767018,186,QPZVOYSW,RCXASRCB,WR3 8RS
19471790010,117,SNWOXPBU,QPAXSTCN,WF2 6HJ
19471799011,195,TWBSBWNB,QWTWUWPR,SG18 9QB
19471803011,129,RXCRQXWY,RXCRQXWY,SS5 6PS
19472319017,117,TPZVOTCA,SUXRABCA,BS40 6BE
19472732011,158,PBWTRQNR,TSUAUXXY,PE10 0AG
19472359013,116,RZOBVRNV,RXQZTYQR,BH24 2BP
19472363015,143,QTSOWTNX,RBTCNPOU,PE28 2SA
19472371018,116,RCAURNAX,TSYAVTQN,GU29 9AR
19472391016,125,SURXRCZT,TQVRATXV,EX1 3SD
19472859012,124,QTVWTUYV,RCXASRCB,WR3 7UA
19472882014,107,TNOQXTQZ,QTXCCNAU,IV2 6TS
